id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,1,0,0,1,2,1,3,2,2,6
1,0,2,3,2,1,3,6,6,9,8
2,1,2,1,2,4,5,1,2,4,4
3,1,0,0,2,0,4,5,1,8,6
4,0,0,3,1,3,0,3,2,4,10
5,0,1,3,2,2,3,1,4,7,9
6,0,2,0,1,0,4,1,6,0,1
7,1,1,3,1,0,5,1,6,3,10
8,1,0,0,4,4,4,1,2,5,4
9,0,0,2,4,4,5,0,6,8,8
10,1,0,0,2,5,1,5,5,0,9
11,1,2,1,3,4,3,4,5,0,4
12,0,2,2,4,2,4,3,1,8,0
13,0,1,1,1,0,3,7,6,8,6
14,1,2,3,0,3,3,5,8,9,3
15,0,0,2,0,3,6,0,3,8,5
16,0,2,2,0,0,2,6,8,9,0
17,0,2,0,4,2,1,2,4,1,6
18,1,0,2,0,0,2,5,1,6,8
19,0,1,2,0,5,2,2,6,9,8
20,0,2,1,0,4,1,5,4,7,6
21,1,2,0,0,4,6,6,2,1,5
22,0,1,0,3,3,4,6,6,1,5
23,0,1,3,4,4,6,6,2,9,7
24,1,2,1,1,2,6,3,6,9,8
25,0,0,3,1,2,1,0,3,1,6
26,0,2,2,0,5,5,2,0,4,2
27,1,1,0,1,3,5,0,4,9,10
28,0,1,0,3,1,5,3,8,6,6
29,1,0,0,2,1,1,1,8,3,6
30,1,0,1,0,5,6,7,0,8,1
31,0,2,3,3,2,6,0,5,1,8
32,0,2,1,1,1,5,1,2,6,3
33,1,1,3,4,5,5,4,6,2,1
34,0,1,0,2,4,3,4,6,0,1
35,1,0,0,4,3,2,3,0,7,7
36,0,1,1,0,0,0,7,1,2,8
37,1,2,0,1,2,6,0,7,1,0
38,1,0,0,1,2,5,7,1,9,8
39,1,1,2,3,3,3,0,7,5,0
40,1,2,2,3,1,4,0,6,1,5
41,1,0,1,0,2,2,6,0,9,1
42,0,1,3,0,4,6,4,1,9,1
43,0,0,3,3,0,4,0,0,5,8
44,0,1,2,0,5,1,2,2,2,1
45,1,1,2,3,4,1,5,0,3,3
46,1,1,0,1,1,6,7,1,0,3
47,1,1,1,2,5,6,4,3,3,10
48,0,2,3,2,5,2,4,4,4,7
49,1,0,1,4,4,5,3,0,9,2
50,0,0,2,3,5,2,7,7,8,5
51,0,0,3,0,2,4,4,2,8,2
52,0,1,3,2,5,6,6,0,4,1
53,0,1,1,0,2,3,2,4,7,6
54,0,2,2,1,2,4,6,3,8,6
55,1,2,2,1,2,6,7,3,0,7
56,0,1,0,2,4,3,4,2,9,2
57,1,1,0,4,5,0,3,8,6,3
58,1,1,1,1,0,0,5,8,3,10
59,1,1,0,3,3,0,0,5,9,7
60,1,2,1,3,3,4,4,5,2,3
61,0,2,3,2,1,2,0,2,9,0
62,1,0,1,2,1,2,3,1,6,8
63,1,2,1,1,3,2,0,7,9,5
64,0,1,3,1,3,0,7,4,4,5
65,0,1,3,3,3,1,6,7,7,3
66,1,0,0,0,0,2,3,1,3,6
67,0,0,3,1,4,1,4,5,5,1
68,1,1,3,2,1,4,4,5,5,10
69,0,1,2,3,2,0,5,7,4,7
70,1,1,3,0,3,4,3,3,0,1
71,0,0,3,4,4,5,1,0,5,7
72,1,1,1,0,1,4,4,2,8,5
73,1,1,0,3,0,3,4,2,9,7
74,0,1,2,0,3,4,1,4,6,7
75,1,0,0,4,5,2,1,4,3,6
76,0,1,1,2,5,1,2,1,7,0
77,1,0,1,2,1,4,0,2,6,8
78,1,0,2,2,3,6,6,2,3,2
79,1,0,1,3,2,1,0,8,8,1
80,0,0,1,1,4,0,7,5,1,4
81,1,1,0,3,0,0,1,8,9,6
82,1,2,2,1,0,3,2,8,4,2
83,1,0,2,4,4,0,5,2,1,8
84,0,1,3,3,5,3,7,2,1,10
85,0,0,0,4,4,5,4,1,0,1
86,1,2,3,4,4,0,1,6,0,5
87,0,1,0,3,0,1,2,3,5,2
88,0,1,2,1,0,3,3,3,2,9
89,0,2,3,3,2,1,7,3,9,0
90,0,2,2,2,2,6,4,6,9,9
91,0,1,2,4,1,6,2,6,1,9
92,0,1,1,3,3,5,4,3,3,0
93,1,2,3,1,4,5,4,6,4,2
94,1,0,0,0,5,5,1,6,9,3
95,0,0,3,3,4,4,2,8,7,10
96,0,2,3,2,0,1,5,4,5,1
97,0,1,1,4,0,4,7,3,1,8
98,0,1,2,0,1,1,2,4,6,7
99,1,2,3,4,5,3,1,5,9,9
100,0,2,3,4,3,2,5,7,8,8
101,0,2,0,1,5,3,2,5,3,5
102,1,1,3,4,1,6,7,2,6,2
103,1,2,0,2,4,6,4,8,2,3
104,1,1,1,1,3,1,6,3,5,7
105,1,0,1,0,1,6,3,1,0,7
106,0,2,1,2,2,6,3,8,0,1
107,1,0,0,0,2,5,2,7,9,9
108,1,1,1,1,4,3,0,6,1,3
109,1,0,3,3,2,6,4,2,9,8
110,1,0,3,3,2,4,0,5,7,4
111,1,1,1,2,1,5,6,2,5,5
112,0,2,0,2,3,5,0,2,3,8
113,1,1,0,1,0,6,2,1,5,1
114,1,1,3,4,0,2,4,4,5,2
115,0,0,0,4,1,4,3,3,7,3
116,0,1,3,0,1,1,5,7,3,1
117,1,2,2,4,4,0,0,6,0,0
118,1,1,0,3,0,0,5,7,6,8
119,0,2,0,1,0,5,1,5,1,9
120,1,2,0,2,5,5,5,1,8,9
121,1,2,0,3,5,5,3,6,9,2
122,0,2,0,3,2,2,4,0,9,6
123,0,2,0,4,0,4,1,0,0,4
124,0,1,3,3,0,2,5,8,9,5
125,1,1,0,4,3,2,7,1,6,4
126,0,0,3,4,5,0,1,8,6,9
127,1,0,0,1,2,1,5,5,5,0
128,1,1,1,4,1,3,0,5,0,1
129,1,1,3,4,0,3,4,1,7,4
130,0,2,3,1,4,4,5,2,5,10
131,1,1,2,1,5,3,6,3,9,7
132,1,2,1,4,0,4,3,0,1,4
133,0,1,2,0,2,0,3,8,5,7
134,0,0,0,0,3,4,4,1,1,10
135,1,0,0,3,0,6,4,4,9,4
136,1,2,3,3,1,4,1,4,7,5
137,0,1,2,4,3,4,0,0,5,10
138,1,0,1,4,3,2,5,4,9,5
139,1,1,0,2,2,6,7,0,0,10
140,1,0,3,3,5,1,7,4,5,8
141,1,1,1,3,1,2,7,2,2,0
142,0,0,1,1,1,1,5,8,2,4
143,1,2,2,0,1,1,2,0,8,6
144,0,2,3,1,1,5,6,5,9,9
145,0,2,3,3,5,2,5,6,1,1
146,0,1,0,0,1,5,2,3,1,5
147,0,2,1,4,1,6,4,2,2,7
148,1,2,3,2,3,6,3,0,5,7
149,1,1,1,1,1,2,5,2,2,1
150,1,2,1,2,2,3,2,6,9,6
151,1,1,1,0,2,3,0,2,3,4
152,1,0,2,4,0,5,3,6,4,7
153,0,0,3,4,0,6,6,2,9,3
154,1,0,3,4,0,0,3,7,4,3
155,1,0,1,4,5,4,4,6,4,0
156,1,1,3,0,2,0,0,8,3,6
157,0,0,0,4,3,1,3,3,9,3
158,0,1,0,3,3,1,1,5,7,7
159,0,1,1,0,3,6,5,0,8,5
160,1,0,2,3,0,3,6,5,1,4
161,0,2,3,0,0,3,6,7,7,2
162,0,1,0,4,0,3,4,2,6,10
163,0,1,3,1,4,2,5,5,9,3
164,0,2,1,4,5,3,4,8,2,3
165,1,2,1,2,2,3,5,7,7,0
166,1,1,3,2,3,0,0,0,3,5
167,0,0,1,4,3,3,3,4,3,2
168,0,0,1,3,4,1,4,5,3,6
169,0,0,3,0,1,2,3,6,2,4
170,0,1,3,0,5,1,2,3,4,4
171,0,0,3,0,5,5,6,0,0,2
172,0,0,1,3,1,1,2,8,0,9
173,0,1,0,3,1,4,0,0,0,4
174,1,2,0,2,4,2,4,3,9,8
175,0,1,3,0,3,0,1,0,8,10
176,1,2,2,2,0,4,4,6,7,4
177,1,1,1,4,3,4,2,1,2,7
178,1,0,3,3,1,5,6,8,0,1
179,1,2,2,1,1,5,0,6,8,4
180,1,2,0,3,4,4,4,0,4,0
181,0,2,2,3,1,5,0,8,4,1
182,0,1,2,3,3,1,2,7,2,6
183,1,2,2,2,4,6,1,0,6,10
184,1,2,1,1,3,4,7,6,5,1
185,0,1,1,2,5,2,5,7,0,1
186,1,0,0,4,1,6,6,3,8,3
187,1,1,1,2,5,6,2,6,1,2
188,1,1,2,3,1,1,6,6,5,2
189,1,0,1,3,4,2,0,8,6,4
190,0,0,1,0,5,0,5,1,6,0
191,1,0,1,2,0,1,3,2,3,10
192,0,0,0,3,2,6,2,1,4,5
193,0,1,0,3,5,3,1,7,5,6
194,0,1,1,3,0,3,1,0,7,0
195,1,1,0,2,5,0,0,4,6,4
196,0,2,3,4,3,2,7,2,0,3
197,0,1,2,4,5,4,0,6,8,10
198,1,0,0,1,1,6,2,5,1,6
199,0,2,2,2,0,3,2,3,0,10
200,1,1,0,2,4,4,4,1,4,6
201,0,1,3,2,3,0,1,5,6,4
202,1,0,2,2,4,6,6,5,1,1
203,1,2,0,3,2,4,2,4,6,8
204,1,2,2,2,0,3,1,3,2,4
205,1,0,0,3,5,0,0,3,0,6
206,1,0,2,4,5,5,4,8,1,3
207,0,0,3,0,4,6,4,2,0,6
208,0,1,0,0,5,1,4,6,8,4
209,1,0,0,3,3,6,0,7,3,0
210,1,2,0,1,2,4,2,5,1,6
211,1,1,3,0,5,3,1,2,0,4
212,0,1,3,2,5,4,3,7,0,3
213,0,0,3,4,3,5,1,8,0,2
214,0,0,3,0,1,3,2,5,2,3
215,1,2,0,2,2,3,0,7,4,9
216,0,1,0,4,5,2,7,1,9,2
217,1,0,3,3,2,3,0,0,4,3
218,1,2,1,3,2,4,4,1,0,9
219,0,2,0,1,0,1,5,7,4,3
220,1,0,3,3,2,0,4,7,2,5
221,1,2,0,3,3,6,3,4,5,0
222,0,2,1,0,4,1,0,8,6,5
223,0,2,2,4,5,3,7,5,2,4
224,0,1,1,3,1,0,5,2,8,1
225,0,0,3,3,4,4,7,7,5,4
226,1,1,3,3,2,5,4,2,9,4
227,0,2,3,3,3,5,3,3,0,2
228,0,2,2,3,0,6,5,4,1,9
229,1,1,0,4,5,5,0,8,1,7
230,0,2,1,3,4,6,4,6,1,6
231,1,2,3,3,4,5,6,3,2,1
232,1,1,2,3,5,3,5,2,7,4
233,1,0,1,0,2,3,5,1,4,9
234,1,1,3,1,5,4,7,5,4,10
235,0,2,3,2,2,4,4,1,6,4
236,1,1,1,2,0,1,0,4,6,4
237,0,2,2,4,0,4,4,6,2,4
238,0,2,0,3,3,5,7,7,4,0
239,1,2,2,3,5,4,2,3,3,10
240,1,1,2,0,0,6,1,7,7,3
241,0,2,0,3,4,2,4,2,7,6
242,0,1,0,2,5,6,0,8,7,0
243,0,1,1,4,4,6,5,4,6,8
244,1,0,1,0,2,2,3,6,2,4
245,0,1,3,4,5,1,7,8,8,5
246,0,1,3,0,2,3,4,5,4,3
247,1,0,1,2,5,1,4,0,7,7
248,1,1,0,0,4,0,5,5,3,0
249,0,2,1,2,1,5,0,6,9,5
250,1,2,1,0,0,2,7,1,6,4
251,0,0,1,3,4,4,4,1,2,0
252,1,1,1,0,0,5,4,0,9,9
253,1,2,2,2,0,2,5,2,7,6
254,0,2,0,3,3,5,6,2,5,1
